game_id,date,season,team1,team2,team1_pts,team1_fg_pct,team1_3p_pct,team1_ft_pct,team1_reb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_plus_minus,team2_pts,team2_fg_pct,team2_3p_pct,team2_ft_pct,team2_reb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_plus_minus,pts_diff,fg_pct_diff,reb_diff,ast_diff,stl_diff,blk_diff,tov_diff,plus_minus_diff,team1_wins,team1_fgm,team1_fga,team1_fg3m,team1_fg3a,team1_ftm,team1_fta,team1_oreb,team1_dreb,team2_fgm,team2_fga,team2_fg3m,team2_fg3a,team2_ftm,team2_fta,team2_oreb,team2_dreb,team1_efficiency,team2_efficiency,efficiency_diff,team1_recent_win_rate,team2_recent_win_rate,recent_win_rate_diff
0022500243,2025-11-17,22025,PHI,LAC,110,0.464,0.333,0.7,46,26,7,4,9,20,2.0,108,0.402,0.308,0.963,45,18,6,3,10,26,-2.0,2,0.062,1,8,1,1,-1,4.0,1,39,84,11,33,21,30,9,36,35,87,12,39,26,27,8,37,1.0357815442561205,0.9919177075679648,0.04386383668815563,0.4,0.2,0.2
0022500250,2025-11-18,22025,BOS,BKN,113,0.493,0.452,0.769,49,25,6,5,19,24,14.0,99,0.402,0.368,0.704,39,25,12,2,13,22,-14.0,14,0.09099999999999997,10,0,-6,3,6,28.0,1,37,75,19,42,20,26,10,39,33,82,14,38,19,27,12,27,1.06163096580233,0.917686318131257,0.14394464767107296,0.6,0.2,0.39999999999999997
0022500251,2025-11-18,22025,ATL,DET,112,0.483,0.341,0.867,35,31,9,5,17,24,-8.0,120,0.542,0.323,0.833,39,28,12,4,12,16,8.0,-8,-0.05900000000000005,-4,3,-3,1,5,-16.0,0,42,87,15,44,13,15,11,24,45,83,10,31,20,24,7,32,0.9946714031971581,1.105379513633014,-0.11070811043585593,1.0,1.0,0.0
0022500252,2025-11-18,22025,SAS,MEM,111,0.483,0.381,0.846,38,23,10,3,9,16,10.0,101,0.404,0.308,0.556,59,30,6,4,14,15,-10.0,10,0.07899999999999996,-21,-7,4,-1,-5,20.0,1,42,87,16,42,11,13,4,34,42,104,12,39,5,9,21,38,1.091230829728667,0.8281403738930797,0.2630904558355873,0.6,0.2,0.39999999999999997
0022500253,2025-11-18,22025,LAL,UTA,140,0.595,0.344,0.725,41,31,9,1,17,21,14.0,126,0.522,0.289,0.944,33,33,13,2,18,30,-14.0,14,0.07299999999999995,8,-2,-4,-1,-1,28.0,1,50,84,11,32,29,40,11,30,48,92,13,45,17,18,8,25,1.1804384485666106,1.0685210312075983,0.11191741735901228,0.6,0.4,0.19999999999999996
0022500254,2025-11-18,22025,PHX,POR,127,0.48,0.35,0.864,46,24,19,4,15,27,17.0,110,0.433,0.244,0.8,43,24,7,6,19,12,-17.0,17,0.046999999999999986,3,0,12,-2,-4,34.0,1,47,98,14,40,19,22,18,28,42,97,10,41,16,20,15,28,1.0105028644175684,0.8744038155802862,0.1360990488372822,0.8,0.2,0.6000000000000001
0022500249,2025-11-18,22025,ORL,GSW,121,0.506,0.25,0.931,43,28,14,3,14,20,8.0,113,0.5,0.361,0.786,36,26,11,3,18,18,-8.0,8,0.006000000000000005,7,2,3,0,-4,16.0,1,43,85,8,32,27,29,10,33,39,78,13,36,22,28,6,30,1.0826771653543306,1.043205317577548,0.03947184777678259,0.6,0.8,-0.20000000000000007
0022500256,2025-11-19,22025,IND,CHA,127,0.541,0.421,0.826,43,32,5,8,15,22,9.0,118,0.402,0.289,0.864,48,28,7,2,12,18,-9.0,9,0.139,-5,4,-2,6,3,18.0,1,46,85,16,38,19,23,10,33,43,107,13,45,19,22,22,26,1.1429085673146149,0.9099321406539173,0.23297642666069762,0.0,0.2,-0.2
0022500255,2025-11-19,22025,CLE,HOU,104,0.444,0.308,0.625,39,20,4,5,12,18,-10.0,114,0.456,0.375,0.852,51,23,9,4,13,23,10.0,-10,-0.01200000000000001,-12,-3,-5,1,-1,-20.0,0,36,81,12,39,20,32,10,29,41,90,9,24,23,27,16,35,0.9712364587224506,0.9923398328690808,-0.021103374146630216,0.6,0.8,-0.20000000000000007
0022500259,2025-11-19,22025,WAS,MIN,109,0.489,0.438,0.75,43,25,6,6,17,26,-11.0,120,0.447,0.342,0.719,50,28,11,4,9,15,11.0,-11,0.04199999999999998,-7,-3,-5,2,8,-22.0,0,43,88,14,32,9,12,12,31,42,94,13,38,23,32,19,31,0.9883931809938339,1.016260162601626,-0.02786698160779222,0.0,0.8,-0.8
0022500258,2025-11-19,22025,TOR,PHI,121,0.536,0.379,0.833,31,33,12,2,14,19,9.0,112,0.471,0.4,0.889,41,24,11,6,21,20,-9.0,9,0.06500000000000006,-10,9,1,-4,-7,18.0,1,45,84,11,29,20,24,8,23,41,87,14,35,16,18,16,25,1.104417670682731,0.966183574879227,0.13823409580350388,0.8,0.6,0.20000000000000007
0022500263,2025-11-19,22025,CHI,POR,122,0.479,0.429,0.643,38,36,10,9,16,26,1.0,121,0.411,0.286,0.656,64,27,10,5,15,16,-1.0,1,0.068,-26,9,0,4,1,2.0,1,46,96,21,49,9,14,7,31,44,107,12,42,21,32,26,38,1.032498307379824,0.8826962357747302,0.14980207160509373,0.2,0.2,0.0
0022500260,2025-11-19,22025,NOP,DEN,118,0.449,0.206,0.742,44,25,12,5,12,24,-7.0,125,0.554,0.355,0.815,41,35,8,1,20,26,7.0,-7,-0.10500000000000004,3,-10,4,4,-8,-14.0,0,44,98,7,34,23,31,17,27,46,83,11,31,22,27,9,32,0.9543836945972177,1.0880919220055711,-0.13370822740835342,0.0,0.8,-0.8
0022500262,2025-11-19,22025,NYK,DAL,113,0.441,0.286,0.543,49,27,8,10,9,22,2.0,111,0.412,0.364,0.833,50,23,6,5,17,26,-2.0,2,0.029000000000000026,-1,4,2,5,-8,4.0,1,41,93,12,42,19,35,16,33,35,85,16,44,25,30,10,40,0.9625212947189097,0.955249569707401,0.007271725011508634,0.6,0.2,0.39999999999999997
0022500261,2025-11-19,22025,OKC,SAC,113,0.466,0.263,0.913,45,22,9,10,16,21,14.0,99,0.442,0.286,0.652,45,21,12,0,18,22,-14.0,14,0.02400000000000002,0,1,-3,10,-2,28.0,1,41,88,10,38,21,23,9,36,38,86,8,28,15,23,12,33,0.99018576936558,0.8675078864353312,0.12267788293024884,1.0,0.0,1.0
0022500257,2025-11-19,22025,GSW,MIA,96,0.358,0.265,0.75,62,24,8,5,21,20,-14.0,110,0.406,0.371,0.731,52,30,10,3,14,17,14.0,-14,-0.04800000000000004,10,-6,-2,2,7,-28.0,0,34,95,13,49,15,20,20,42,39,96,13,35,19,26,14,38,0.7570977917981073,0.9057971014492754,-0.14869930965116807,0.6,0.6,0.0
0022500266,2025-11-20,22025,PHI,MIL,123,0.433,0.34,0.808,52,30,9,6,14,15,9.0,114,0.489,0.389,0.769,42,30,7,2,14,19,-9.0,9,-0.055999999999999994,10,0,2,4,0,18.0,1,42,97,18,53,21,26,11,41,45,92,14,36,10,13,3,39,1.0045736687357074,1.0204081632653061,-0.01583449452959873,0.4,0.4,0.0
0022500265,2025-11-20,22025,SAC,MEM,96,0.463,0.333,0.733,32,24,5,5,16,22,-41.0,137,0.505,0.315,0.769,49,42,11,3,7,11,41.0,-41,-0.04199999999999998,-17,-18,-6,2,9,-82.0,0,37,80,11,33,11,15,4,28,50,99,17,54,20,26,11,38,0.9266409266409267,1.1567038162782843,-0.23006288963735766,0.0,0.0,0.0
